Category,Total,Space_Heating,Cooling,Ventilation,Water_Heating,Lighting,Cooking,Refrigeration,Office_Equipment,Computing,Other
Before 1920,65.2,31,4.8,6,2.5,5.8,10.4,2.8,0.5,Q,9.1
1920 to 1945,71.8,30.2,7,8.8,2.7,6.8,8.6,3.9,0.5,4.5,9.1
1946 to 1959,65.2,28.7,6,5.3,3.8,6.1,7.8,3.3,0.5,1.9,9.2
1960 to 1969,74.5,29.1,7.2,7.2,4.8,7.4,10,4.5,0.6,2,11.1
1970 to 1979,70.2,25.5,6.9,7.9,4,7.9,12.1,5,0.5,2.6,10.7
1980 to 1989,72.4,21.1,6.4,8.9,4.8,7.6,13.4,4.7,0.6,4.6,12
1990 to 1999,63.6,21.6,6.8,7.9,3.3,7.4,9.3,4.4,0.5,2.1,10.4
2000 to 2009,80.7,25.9,8,8.9,4,8.4,13.5,5.7,0.5,3.5,13.5
2010 to 2018,72.1,21.2,7.2,8.2,4.1,7.7,12.9,5.6,0.6,3.2,13.3
