Category,Total,Space_Heating,Cooling,Ventilation,Water_Heating,Lighting,Cooking,Refrigeration,Office_Equipment,Computing,Other
2,62.1,23.1,6.1,6.3,3.3,7.1,8.1,3.8,0.5,2.1,9.4
3,71.5,27,6.5,7.9,3.5,7.3,6.8,3.5,0.5,3.4,11.2
4 to 9,90.9,30.3,6.9,12.1,6.1,8.1,8.5,2.6,0.6,5,16.4
10 or more,93.9,24.5,6,17.6,5.6,7.7,11.8,2.2,0.7,7,14.5
Any elevators,81.3,26.9,6.8,11.1,4.5,7.7,8,2.6,0.6,4.6,13.5
